"Story","Title","Result","Date","Stability","Duration (s)"
"Get User","Get User Information","SUCCESS","2022-11-08T11:12:44.1769762+07:00[Asia/Bangkok]","0.0","10.44"
"Login","Login","SUCCESS","2022-11-08T11:12:44.0810326+07:00[Asia/Bangkok]","0.0","16.17"
"Register","Create Account Product","FAILURE","2022-11-08T11:12:43.9061354+07:00[Asia/Bangkok]","0.0","19.24"
"Create Categori","Create valid categori","SUCCESS","2022-11-08T11:12:44.0520472+07:00[Asia/Bangkok]","0.0","10.4"
"Create Categori","Create invalid categori name","SUCCESS","2022-11-08T11:12:55.5919862+07:00[Asia/Bangkok]","0.0","1.53"
"Create Categori","Create invalid categori description","SUCCESS","2022-11-08T11:12:57.1550895+07:00[Asia/Bangkok]","0.0","1.51"
"Get All Categories","Get All Categories","SUCCESS","2022-11-08T11:12:44.3178957+07:00[Asia/Bangkok]","0.0","11.34"
"Get Id Categori","Get Valid Id Categori","SUCCESS","2022-11-08T11:12:43.4049701+07:00[Asia/Bangkok]","0.0","14.54"
"Get Id Categori","Get Invalid Id Products","SUCCESS","2022-11-08T11:12:58.0016011+07:00[Asia/Bangkok]","0.0","1.48"
"Get Hello","Get hello","SUCCESS","2022-11-08T11:12:44.126005+07:00[Asia/Bangkok]","0.0","13.76"
"Create Order","Create Order","SUCCESS","2022-11-08T11:12:44.3778613+07:00[Asia/Bangkok]","0.0","10.29"
"Get All Order","Get All Order","SUCCESS","2022-11-08T11:12:44.2699243+07:00[Asia/Bangkok]","0.0","10.1"
"Get Order Id","Get All Order","SUCCESS","2022-11-08T11:12:44.4188378+07:00[Asia/Bangkok]","0.0","9.99"
"Create Product","Create Valid Product","SUCCESS","2022-11-08T11:12:44.4478206+07:00[Asia/Bangkok]","0.0","10.32"
"Get All Product","Get All Products","SUCCESS","2022-11-08T11:12:44.2259477+07:00[Asia/Bangkok]","0.0","11.34"
"Get Id Product","Get Valid Id Products","SUCCESS","2022-11-08T11:12:43.8641581+07:00[Asia/Bangkok]","0.0","13.88"
"Get Id Product","Get Invalid Id Products","SUCCESS","2022-11-08T11:12:57.822703+07:00[Asia/Bangkok]","0.0","1.65"
"Get Rating","Get Rating Product","SUCCESS","2022-11-08T11:12:44.3398833+07:00[Asia/Bangkok]","0.0","13.37"
